10 3581 14235
0 98 0.281846 0.363703
1 98 0.0974914 0.371109
0 99 0.237955 -0.131541
1 99 0.073034 -0.106212
0 100 0.128894 -0.0755511
1 100 -0.0748631 -0.0438235
0 101 0.118254 -0.0715519
1 101 -0.0761488 -0.0406686
0 102 0.319086 -0.0355584
1 102 0.12783 -0.0102296
0 103 0.354996 -0.0315591
1 103 0.167465 -0.00756342
0 104 0.216675 0.0390948
1 104 0.0125185 0.0646828
0 58 0.107614 0.0404279
0 105 0.289826 0.0430941
1 105 0.105486 0.0649569
0 106 0.300466 0.0497596
1 106 0.139026 0.0682894
0 6 0.186085 0.0644236
0 107 0.171455 0.0670898
1 107 -0.0218401 0.089308
0 108 0.168795 0.0750883
1 108 -0.0240568 0.0981953
0 109 0.166135 0.0830869
1 109 -0.0251651 0.104861
0 110 0.184755 0.10175
1 110 -0.0107567 0.122635
0 111 0.353666 0.10175
1 111 0.143303 0.123746
0 112 0.192735 0.111082
1 112 -0.00410665 0.131523
0 113 0.321746 0.11908
1 113 0.112934 0.139077
0 114 0.333716 0.124413
1 114 0.124904 0.144409
0 67 0.174115 0.128412
0 115 0.329726 0.128412
1 115 0.120914 0.149741
0 116 0.337706 0.129745
1 116 0.127564 0.151075
0 117 0.182095 0.132411
1 117 -0.0129734 0.15263
0 118 0.187415 0.133744
1 118 -0.00854 0.15263
0 119 0.327066 0.135078
1 119 0.118254 0.155074
0 120 0.253915 0.145742
1 120 0.0313603 0.167072
0 70 0.307116 0.148408
0 121 0.312436 0.149741
1 121 0.104954 0.169738
0 122 0.174115 0.151075
1 122 -0.0187367 0.169738
0 123 0.315096 0.151075
1 123 0.107614 0.169738
0 124 0.167465 0.156407
1 124 -0.0240568 0.174848
0 125 0.331056 0.167072
1 125 0.123574 0.187068
0 126 0.333716 0.169738
1 126 0.127564 0.187068
0 127 0.328396 0.173737
1 127 0.123042 0.191334
0 128 0.312436 0.17507
1 128 0.104954 0.1924
0 129 0.305786 0.17907
1 129 0.0983041 0.1964
0 130 0.361646 0.193734
1 130 0.166773 0.208931
0 131 -0.300699 0.219062
1 131 -0.450768 0.230394
0 132 -0.294049 0.219062
1 132 -0.446335 0.230394
0 133 -0.291389 0.219062
1 133 -0.44301 0.230394
0 134 -0.296709 0.220395
1 134 -0.44966 0.232393
0 77 -0.306019 0.223062
0 135 -0.332619 0.224395
1 135 -0.478477 0.233726
0 79 -0.319319 0.224395
0 136 0.202045 0.225728
1 136 0.00790039 0.240577
0 137 -0.339269 0.227061
1 137 -0.485127 0.235948
0 81 -0.327299 0.227061
0 33 0.207365 0.227061
0 138 -0.313999 0.228394
1 138 -0.465177 0.23817
0 139 -0.286069 0.228394
1 139 -0.439685 0.239281
0 140 0.199385 0.228394
1 140 0.00586848 0.242614
0 141 0.188745 0.232393
1 141 -0.00299829 0.244835
0 85 0.206035 0.232393
0 142 -0.270109 0.237726
1 142 -0.427582 0.248924
0 143 0.276526 0.247057
1 143 0.075694 0.260388
0 144 0.268545 0.25239
1 144 0.0690439 0.265721
0 145 -0.323309 0.253723
1 145 -0.47977 0.261869
0 88 -0.264789 0.255056
0 146 0.225985 0.256389
1 146 0.030252 0.268165
0 147 0.269875 0.259055
1 147 0.0703739 0.271053
0 148 0.269875 0.263054
1 148 0.071704 0.276385
0 149 -0.376509 0.264387
1 149 -0.495472 0.269275
0 150 0.259235 0.267054
1 150 0.0623939 0.280385
0 151 -0.275429 0.305713
1 151 -0.433966 0.311312
0 97 -0.256809 0.341707
0 152 0.365636 -0.181399
1 152 0.175445 -0.150204
0 153 0.118254 -0.0710186
1 153 -0.0812472 -0.0395576
0 154 0.107082 0.0425609
1 154 -0.058903 0.0633571
0 155 0.290624 0.0425609
1 155 0.106482 0.0644194
0 156 0.185287 0.0649568
1 156 -0.0126187 0.0873528
0 157 0.170923 0.0665566
1 157 -0.0227268 0.0884192
0 158 0.174115 0.0713557
1 158 -0.0187367 0.0924185
0 159 0.166135 0.0825537
1 159 -0.0253867 0.10335
0 160 0.352868 0.100151
1 160 0.143791 0.122546
0 161 0.185287 0.10175
1 161 -0.00942664 0.122546
0 162 0.193267 0.10175
1 162 -0.00144662 0.12308
0 163 0.196459 0.10495
1 163 -0.00144662 0.125746
0 164 0.191671 0.116148
1 164 -0.00410665 0.136411
0 165 0.325736 0.117747
1 165 0.116658 0.138544
0 166 0.322544 0.119347
1 166 0.113466 0.140143
0 167 0.328928 0.119347
1 167 0.121446 0.140143
0 168 0.174115 0.127346
1 168 -0.0187367 0.147075
0 169 0.191671 0.130545
1 169 -0.00543666 0.149741
0 170 0.185287 0.133744
1 170 -0.0107567 0.152408
0 171 0.327332 0.133744
1 171 0.118254 0.154541
0 172 0.335312 0.133744
1 172 0.126234 0.154541
0 173 0.328928 0.138544
1 173 0.118893 0.15902
0 174 0.306584 0.141743
1 174 0.0978254 0.16094
0 175 0.312968 0.149742
1 175 0.10389 0.168938
0 176 0.319352 0.149742
1 176 0.11187 0.168938
0 177 0.180499 0.154541
1 177 -0.0126187 0.173737
0 178 0.169327 0.15614
1 178 -0.0227268 0.173737
0 179 0.330524 0.168938
1 179 0.123042 0.188135
0 180 0.335312 0.168938
1 180 0.129426 0.188135
0 127 0.328928 0.172138
0 128 0.311372 0.175337
0 181 0.3401 0.175337
1 181 0.134214 0.192934
0 182 0.306584 0.178536
1 182 0.0991022 0.196133
0 183 -0.291921 0.218529
1 183 -0.44301 0.229727
0 184 -0.303093 0.220129
1 184 -0.45099 0.229727
0 185 -0.296709 0.220129
1 185 -0.446734 0.231327
0 186 -0.331821 0.224928
1 186 -0.47759 0.233726
0 187 -0.319053 0.224928
